@relation 'autoGeneratedARFF-weka.filters.unsupervised.attribute.Remove-R2,4-9,11,13-14,16,18-19,21,23-27,30-36,39-47'

@attribute bodydearword.feature numeric
@attribute bodyhtml.feature numeric
@attribute bodysuspensionword.feature numeric
@attribute externalsabinary.feature numeric
@attribute scriptonclick.feature numeric
@attribute scriptstatuschange.feature numeric
@attribute sendnumwords.feature numeric
@attribute subjectbankword.feature numeric
@attribute subjectrichness.feature numeric
@attribute subjectverifyword.feature numeric
@attribute urlnumip.feature numeric
@attribute urlnumlink.feature numeric
@attribute class {ham,phish}

@data
0,0,0,0,0,0,4,0,0.190476,0,0,0,ham
0,0,0,0,0,0,4,0,0.190476,0,0,0,ham
0,0,0,0,0,0,0,0,0.162162,0,0,0,ham
0,0,0,0,0,0,4,0,0.190476,0,0,0,ham
0,0,0,0,0,0,0,0,0.130435,0,0,0,ham
1,0,0,1,0,0,0,0,0.152174,0,0,0,ham
0,0,0,0,0,0,4,0,0.190476,0,0,0,ham
0,0,0,0,0,0,0,0,0.205128,0,0,0,ham
0,0,0,0,0,0,0,0,0.130435,0,0,0,ham
0,0,0,0,0,0,4,0,0.296296,0,0,0,ham
0,0,0,0,0,0,3,0,0.266667,0,0,0,ham
0,0,0,0,0,0,4,0,0.190476,0,0,0,ham
0,0,0,0,0,0,4,0,0.190476,0,0,0,ham
0,0,0,1,0,0,0,0,0.178571,0,0,0,ham
0,0,0,0,0,0,0,0,0.205128,0,0,0,ham
0,0,0,0,0,0,0,0,0.205128,0,0,0,ham
0,0,0,0,0,0,0,0,0.173077,0,0,0,ham
0,0,0,0,0,0,4,0,0.190476,0,0,0,ham
0,0,0,0,0,0,4,0,0.190476,0,0,0,ham
0,0,0,0,0,0,0,0,0.230769,0,0,0,ham
0,1,0,0,0,0,0,0,0.131579,0,0,3,ham
0,0,0,0,0,0,0,0,0.205128,0,0,0,ham
0,0,0,0,0,0,4,0,0.190476,0,0,0,ham
0,1,0,0,0,0,0,0,0.142857,0,0,5,ham
0,0,0,0,0,0,4,0,0.190476,0,0,0,ham
0,0,0,0,0,0,0,0,0.1,0,0,0,ham
0,0,0,0,0,0,0,0,0.153846,0,0,0,ham
0,0,0,0,0,0,4,0,0.15625,0,0,0,ham
0,0,0,0,0,0,4,0,0.190476,0,0,0,ham
0,1,0,0,0,0,0,0,0.166667,0,0,4,ham
0,1,0,0,0,0,0,0,0.195652,0,0,61,ham
0,0,0,0,0,0,4,0,0.133333,0,0,0,ham
0,0,0,0,0,0,4,0,0.142857,0,0,0,ham
0,0,0,0,0,0,4,0,0.190476,0,0,0,ham
0,0,0,0,0,0,4,0,0.175,0,0,0,ham
0,1,0,0,0,0,0,0,0.255814,0,0,26,ham
0,0,0,0,0,0,0,0,0.225806,0,0,0,ham
0,0,0,0,0,0,3,0,0.216216,0,0,0,ham
0,0,0,0,0,0,3,0,0.210526,0,0,0,ham
0,0,0,0,0,0,3,0,0.238095,0,0,0,ham
0,0,0,0,0,0,0,0,0.185185,0,0,0,ham
0,0,0,0,0,0,4,0,0.190476,0,0,0,ham
0,0,0,0,0,0,3,0,0.285714,0,0,0,ham
1,1,0,0,0,0,4,0,0.119048,0,0,82,ham
0,0,0,0,0,0,3,0,0.217391,0,0,0,ham
0,1,0,1,0,0,4,0,0.119048,0,0,118,ham
0,0,0,0,0,0,3,0,0.238095,0,0,0,ham
0,0,0,0,0,0,3,0,0.227273,0,0,0,ham
0,0,0,0,0,0,0,0,0.153846,0,0,0,ham
0,1,0,0,0,0,0,0,0.230769,0,0,26,ham
0,0,0,0,0,0,3,0,0.177778,0,0,0,ham
0,0,0,0,0,0,3,0,0.177778,0,0,0,ham
0,0,0,0,0,0,3,0,0.190476,0,0,0,ham
0,1,0,0,0,0,0,0,0.238095,0,0,72,ham
0,0,0,0,0,0,0,0,0.172414,0,0,0,ham
0,0,0,0,0,0,3,0,0.177778,0,0,0,ham
0,1,0,1,0,0,4,0,0.116279,0,0,86,ham
0,0,0,0,0,0,3,0,0.193548,0,0,0,ham
0,0,0,0,0,0,3,0,0.166667,0,0,0,ham
0,1,0,0,0,0,0,0,0.218182,0,0,41,ham
0,1,0,0,0,0,0,0,0.146341,0,0,101,ham
0,0,0,0,0,0,0,0,0.1875,0,0,0,ham
0,0,0,0,0,0,3,0,0.193548,0,0,0,ham
0,0,0,0,0,0,3,0,0.190476,0,0,0,ham
0,1,0,0,0,0,0,0,0.244444,0,0,54,ham
0,0,0,0,0,0,3,0,0.142857,0,0,0,ham
0,0,0,0,0,0,3,0,0.227273,0,0,0,ham
0,0,0,0,0,0,3,0,0.190476,0,0,0,ham
0,1,0,0,0,0,4,0,0.151515,0,0,72,ham
0,0,0,0,0,0,3,0,0.217391,0,0,0,ham
0,0,0,0,0,0,0,0,0.1875,0,0,0,ham
0,1,0,0,0,0,0,0,0.1875,0,0,69,ham
0,0,0,0,0,0,3,0,0.166667,0,0,0,ham
0,1,0,0,0,0,0,0,0.180328,0,0,61,ham
0,0,0,0,0,0,3,0,0.190476,0,0,0,ham
0,0,0,0,0,0,3,0,0.180328,0,0,0,ham
0,1,0,0,0,0,0,0,0.195122,0,0,61,ham
0,0,0,0,0,0,3,0,0.241379,0,0,0,ham
0,0,0,0,0,0,3,0,0.193548,0,0,0,ham
0,1,0,0,0,0,0,0,0.183333,0,0,50,ham
0,0,0,0,0,0,3,0,0.162791,0,0,0,ham
1,1,0,0,0,0,0,0,0.32,0,0,63,ham
0,0,0,0,0,0,3,0,0.162791,0,0,0,ham
0,0,0,0,0,0,3,0,0.2,0,0,0,ham
0,0,0,0,0,0,3,0,0.2,0,0,0,ham
0,0,0,0,0,0,3,0,0.162791,0,0,0,ham
1,1,0,0,0,0,0,0,0.257143,0,0,17,ham
0,1,0,0,0,0,0,0,0.152174,0,0,46,ham
0,0,0,0,0,0,3,0,0.16129,0,0,0,ham
0,0,0,0,0,0,3,0,0.177778,0,0,0,ham
0,0,0,0,0,0,0,0,0.192308,0,0,0,ham
0,0,0,0,0,0,3,0,0.148148,0,0,0,ham
0,0,0,0,0,0,3,0,0.2,0,0,0,ham
0,0,0,0,0,0,3,0,0.076923,0,0,0,ham
0,0,0,0,0,0,3,0,0.162791,0,0,0,ham
0,1,0,1,0,0,4,0,0.142857,0,0,108,ham
0,0,0,0,0,0,0,0,0.1,0,0,0,ham
0,0,0,0,0,0,3,0,0.176471,0,0,0,ham
0,1,0,0,0,0,0,0,0.186047,0,0,56,ham
0,0,0,0,0,0,3,0,0.210526,0,0,0,ham
0,0,0,0,0,0,3,0,0.162791,0,0,0,ham
0,1,0,0,0,0,0,0,0.163265,0,0,23,ham
0,0,0,0,0,0,0,0,0.159091,0,0,0,ham
0,1,0,0,0,0,0,0,0.226415,0,0,45,ham
0,0,0,0,0,0,3,0,0.162791,0,0,0,ham
0,0,0,0,0,0,3,0,0.176471,0,0,0,ham
0,0,0,0,0,0,3,0,0.227273,0,0,0,ham
0,1,0,0,0,0,0,0,0.230769,0,0,44,ham
0,1,0,0,0,0,0,0,0.230769,0,0,28,ham
0,0,0,0,0,0,3,0,0.125,0,0,0,ham
0,0,0,0,0,0,3,0,0.176471,0,0,0,ham
0,1,0,0,0,0,0,0,0.155556,0,0,57,ham
0,0,0,0,0,0,3,0,0.205882,0,0,0,ham
0,0,0,0,0,0,3,0,0.176471,0,0,0,ham
0,0,0,0,0,0,3,0,0.176471,0,0,0,ham
0,0,0,0,0,0,0,0,0.085714,0,0,0,ham
0,0,0,0,0,0,3,0,0.24,0,0,0,ham
1,1,0,0,0,0,0,0,0.205882,0,0,65,ham
0,0,0,0,0,0,3,0,0.176471,0,0,0,ham
0,0,0,0,0,0,3,0,0.125,0,0,0,ham
0,0,0,0,0,0,3,0,0.294118,0,0,0,ham
0,0,0,0,0,0,3,0,0.193548,0,0,0,ham
1,1,0,0,0,0,0,0,0.172414,0,0,55,ham
0,0,0,0,0,0,0,0,0.071429,0,0,0,ham
0,0,0,0,0,0,3,0,0.214286,0,0,0,ham
0,0,0,0,0,0,3,0,0.125,0,0,0,ham
0,0,0,0,0,0,3,0,0.214286,0,0,0,ham
0,0,0,0,0,0,3,0,0.205882,0,0,0,ham
0,1,0,0,0,0,0,0,0.2,0,0,35,ham
0,0,0,0,0,0,3,0,0.212121,0,0,0,ham
0,1,0,0,0,0,0,0,0.173913,0,0,27,ham
0,0,0,0,0,0,3,0,0.125,0,0,0,ham
0,0,0,0,0,0,3,0,0.217391,0,0,0,ham
